역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9,congestionCar_10,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft,congestionCar_9_fft,congestionCar_10_fft
218,8.000000,0,530.000000,토요일,15.454545,8.848485,12.969697,13.151515,11.939394,10.393939,10.909091,9.636364,4.666667,8.545455,15.454545,8.848485,12.969697,13.151515,11.939394,10.393939,10.909091,9.636364,4.666667,8.545455
219,8.000000,0,530.000000,토요일,20.696970,14.454545,20.072727,19.393939,19.539394,17.369697,16.248485,15.509091,10.624242,17.993939,20.696970,14.454545,20.072727,19.393939,19.539394,17.369697,16.248485,15.509091,10.624242,17.993939
220,8.000000,0,530.000000,토요일,25.939394,20.060606,27.175758,25.636364,27.139394,24.345455,21.587879,21.381818,16.581818,27.442424,25.939394,20.060606,27.175758,25.636364,27.139394,24.345455,21.587879,21.381818,16.581818,27.442424
221,8.000000,0,530.000000,토요일,31.181818,25.666667,34.278788,31.878788,34.739394,31.321212,26.927273,27.254545,22.539394,36.890909,31.181818,25.666667,34.278788,31.878788,34.739394,31.321212,26.927273,27.254545,22.539394,36.890909
222,8.000000,0,530.000000,토요일,36.424242,31.272727,41.381818,38.121212,42.339394,38.296970,32.266667,33.127273,28.496970,46.339394,36.424242,31.272727,41.381818,38.121212,42.339394,38.296970,32.266667,33.127273,28.496970,46.339394
223,8.000000,0,530.000000,토요일,41.666667,36.878788,48.484848,44.363636,49.939394,45.272727,37.606061,39.000000,34.454545,55.787879,41.666667,36.878788,48.484848,44.363636,49.939394,45.272727,37.606061,39.000000,34.454545,55.787879
224,8.000000,0,530.000000,토요일,44.272727,40.040404,53.989899,47.444444,55.989899,49.171717,39.464646,42.474747,37.151515,58.484848,44.272727,40.040404,53.989899,47.444444,55.989899,49.171717,39.464646,42.474747,37.151515,58.484848
225,8.000000,0,530.000000,토요일,46.878788,43.202020,59.494949,50.525253,62.040404,53.070707,41.323232,45.949495,39.848485,61.181818,46.878788,43.202020,59.494949,50.525253,62.040404,53.070707,41.323232,45.949495,39.848485,61.181818
226,8.000000,0,530.000000,토요일,49.484848,46.363636,65.000000,53.606061,68.090909,56.969697,43.181818,49.424242,42.545455,63.878788,49.484848,46.363636,65.000000,53.606061,68.090909,56.969697,43.181818,49.424242,42.545455,63.878788
227,8.000000,0,530.000000,토요일,45.238636,43.631061,59.708333,48.796212,61.851515,52.568939,41.553030,45.618182,38.917424,59.592424,45.238636,43.631061,59.708333,48.796212,61.851515,52.568939,41.553030,45.618182,38.917424,59.592424
228,8.000000,0,530.000000,토요일,40.992424,40.898485,54.416667,43.986364,55.612121,48.168182,39.924242,41.812121,35.289394,55.306061,40.992424,40.898485,54.416667,43.986364,55.612121,48.168182,39.924242,41.812121,35.289394,55.306061
229,8.000000,0,530.000000,토요일,36.746212,38.165909,49.125000,39.176515,49.372727,43.767424,38.295455,38.006061,31.661364,51.019697,36.746212,38.165909,49.125000,39.176515,49.372727,43.767424,38.295455,38.006061,31.661364,51.019697
