역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
740,7.000000,0.000000,530.000000,토요일,50.574074,63.166667,67.851852,48.537037,50.055556,48.388889,42.240741,33.537037,101.148148,126.333333,135.703704,97.074074,100.111111,96.777778,84.481481,67.074074
741,7.000000,0.000000,530.000000,토요일,47.361111,58.490741,62.129630,47.675926,47.194444,45.694444,40.601852,30.527778,94.722222,116.981481,124.259259,95.351852,94.388889,91.388889,81.203704,61.055556
742,7.000000,0.000000,530.000000,토요일,44.148148,53.814815,56.407407,46.814815,44.333333,43.000000,38.962963,27.518519,88.296296,107.629630,112.814815,93.629630,88.666667,86.000000,77.925926,55.037037
743,7.000000,0.000000,530.000000,토요일,41.975694,49.600694,54.961806,46.204861,42.625000,44.864583,40.076389,30.086806,83.951389,99.201389,109.923611,92.409722,85.250000,89.729167,80.152778,60.173611
744,7.000000,0.000000,530.000000,토요일,39.803241,45.386574,53.516204,45.594907,40.916667,46.729167,41.189815,32.655093,79.606481,90.773148,107.032407,91.189815,81.833333,93.458333,82.379630,65.310185
745,7.000000,0.000000,530.000000,토요일,37.630787,41.172454,52.070602,44.984954,39.208333,48.593750,42.303241,35.223380,75.261574,82.344907,104.141204,89.969907,78.416667,97.187500,84.606481,70.446759
746,7.000000,0.000000,530.000000,토요일,35.458333,36.958333,50.625000,44.375000,37.500000,50.458333,43.416667,37.791667,70.916667,73.916667,101.250000,88.750000,75.000000,100.916667,86.833333,75.583333
747,7.000000,0.000000,530.000000,토요일,34.149306,36.274306,46.774306,42.878472,38.069444,47.343750,41.493056,38.454861,68.298611,72.548611,93.548611,85.756944,76.138889,94.687500,82.986111,76.909722
748,7.000000,0.000000,530.000000,토요일,32.840278,35.590278,42.923611,41.381944,38.638889,44.229167,39.569444,39.118056,65.680556,71.180556,85.847222,82.763889,77.277778,88.458333,79.138889,78.236111
749,7.000000,0.000000,530.000000,토요일,31.531250,34.906250,39.072917,39.885417,39.208333,41.114583,37.645833,39.781250,63.062500,69.812500,78.145833,79.770833,78.416667,82.229167,75.291667,79.562500
750,7.000000,0.000000,530.000000,토요일,30.222222,34.222222,35.222222,38.388889,39.777778,38.000000,35.722222,40.444444,60.444444,68.444444,70.444444,76.777778,79.555556,76.000000,71.444444,80.888889
709,7.000000,0.000000,530.000000,평일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
710,7.000000,0.000000,530.000000,평일,4.763889,3.555556,2.188889,1.683333,2.508333,2.394444,2.050000,2.219444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
711,7.000000,0.000000,530.000000,평일,9.527778,7.111111,4.377778,3.366667,5.016667,4.788889,4.100000,4.438889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
712,7.000000,0.000000,530.000000,평일,14.291667,10.666667,6.566667,5.050000,7.525000,7.183333,6.150000,6.658333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
713,7.000000,0.000000,530.000000,평일,19.055556,14.222222,8.755556,6.733333,10.033333,9.577778,8.200000,8.877778,94.722222,84.444444,80.083333,75.361111,70.138889,88.027778,56.194444,53.611111
714,7.000000,0.000000,530.000000,평일,20.711111,16.450000,12.663889,9.866667,12.572222,12.163889,11.113889,12.625000,113.562500,102.048611,100.993056,98.506944,93.180556,109.423611,74.256944,66.513889
715,7.000000,0.000000,530.000000,평일,22.366667,18.677778,16.572222,13.000000,15.111111,14.750000,14.027778,16.372222,132.402778,119.652778,121.902778,121.652778,116.222222,130.819444,92.319444,79.416667
716,7.000000,0.000000,530.000000,평일,24.022222,20.905556,20.480556,16.133333,17.650000,17.336111,16.941667,20.119444,151.243056,137.256944,142.812500,144.798611,139.263889,152.215278,110.381944,92.319444
717,7.000000,0.000000,530.000000,평일,25.677778,23.133333,24.388889,19.266667,20.188889,19.922222,19.855556,23.866667,170.083333,154.861111,163.722222,167.944444,162.305556,173.611111,128.444444,105.222222
718,7.000000,0.000000,530.000000,평일,23.195556,20.895556,23.111111,17.882222,18.728889,18.324444,18.106667,21.677778,176.683951,158.140741,171.767901,178.528395,172.175309,180.311111,134.123457,112.177778
719,7.000000,0.000000,530.000000,평일,20.713333,18.657778,21.833333,16.497778,17.268889,16.726667,16.357778,19.488889,183.284568,161.420370,179.813580,189.112346,182.045062,187.011111,139.802469,119.133333
720,7.000000,0.000000,530.000000,평일,18.231111,16.420000,20.555556,15.113333,15.808889,15.128889,14.608889,17.300000,189.885185,164.700000,187.859259,199.696296,191.914815,193.711111,145.481481,126.088889
721,7.000000,0.000000,530.000000,평일,15.748889,14.182222,19.277778,13.728889,14.348889,13.531111,12.860000,15.111111,196.485802,167.979630,195.904938,210.280247,201.784568,200.411111,151.160494,133.044444
722,7.000000,0.000000,530.000000,평일,13.266667,11.944444,18.000000,12.344444,12.888889,11.933333,11.111111,12.922222,203.086420,171.259259,203.950617,220.864198,211.654321,207.111111,156.839506,140.000000
723,7.000000,0.000000,530.000000,평일,11.922222,11.153333,16.111111,11.944444,12.420000,10.848889,9.984444,11.915556,223.269136,185.175309,217.269136,227.402469,213.244444,217.688889,170.656790,151.555556
